"","f_diag","age_cat","APC1_female","time_period1_female","APC2_female","time_period2_female","APC3_female","time_period3_female","APC1_male","time_period1_male","APC2_male","time_period2_male","APC3_male","time_period3_male"
"1","F[0-6]|G30","adolescents & emerging adults",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NA",NA,NA
"2","F1[1-9]","adolescents & emerging adults","86.73 (39.87,149.27)","1994 - 1996","1.55 (-0.17,3.3)","1996 - 2015",NA,NA,"53.62 (30.34,81.05)","1994 - 1997","2.83 (1.13,4.57)","1997 - 2015",NA,NA
"3","F10","adolescents & emerging adults",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NA",NA,NA
"4","F20","adolescents & emerging adults",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NA",NA,NA
"5","F3[2-3]","adolescents & emerging adults",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NA",NA,NA
"6","F4","adolescents & emerging adults","0.54 (-1.02,2.12)","1994 - 2008","7.26 (2.08,12.7)","2008 - 2015",NA,NA,"17.4 (12.8,22.19)","1994 - 1999","-10.68 (-13.46,-7.81)","1999 - 2006","4.65 (2.41,6.93)","2006 - 2015"
"7","F50","adolescents & emerging adults",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NA",NA,NA
"8","F60","adolescents & emerging adults",NA,NA,NA,"NA",NA,NA,"-2.36 (-5.17,0.54)","1994 - 2003","-14.38 (-23.98,-3.57)","2003 - 2007","5.29 (1.05,9.7)","2007 - 2015"
"9","F[0-6]|G30","adults",NA,NA,NA,"NA",NA,NA,"0.65 (-0.27,1.59)","1994 - 2003","-2.19 (-2.87,-1.5)","2003 - 2015",NA,NA
"10","F00|G30","adults",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NA",NA,NA
"11","F1[1-9]","adults",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NA",NA,NA
"12","F10","adults","4.16 (2.01,6.36)","1994 - 2005","-3.29 (-5.91,-0.59)","2005 - 2015",NA,NA,NA,NA,NA,"NA",NA,NA
"13","F20","adults","-2.08 (-2.73,-1.42)","1994 - 2008","-6 (-7.96,-4)","2008 - 2015",NA,NA,NA,NA,NA,"NA",NA,NA
"14","F3[2-3]","adults",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NA",NA,NA
"15","F4","adults",NA,NA,NA,"NA",NA,NA,"4.5 (2.6,6.43)","1994 - 2002","0.85 (-0.2,1.92)","2002 - 2015",NA,NA
"16","F50","adults",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NA",NA,NA
"17","F60","adults",NA,NA,NA,"NA",NA,NA,"-2.41 (-4.52,-0.26)","1994 - 2004","-14.46 (-18.08,-10.67)","2004 - 2011","5.61 (-4.68,17.02)","2011 - 2015"
"18","F[0-6]|G30","seniors",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NA",NA,NA
"19","F00|G30","seniors",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NA",NA,NA
"20","F1[1-9]","seniors","-5.15 (-10.8,0.87)","1994 - 2002","12.93 (9.02,16.98)","2002 - 2015",NA,NA,NA,NA,NA,"NA",NA,NA
"21","F10","seniors",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NA",NA,NA
"22","F20","seniors",NA,NA,NA,"NA",NA,NA,"0.18 (-2.33,2.75)","1994 - 2007","-11.57 (-16.64,-6.19)","2007 - 2015",NA,NA
"23","F3[2-3]","seniors",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NA",NA,NA
"24","F4","seniors",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NA",NA,NA
"25","F50","seniors",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NA",NA,NA
"26","F60","seniors",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NA",NA,NA
