"","f_diag","age_cat","APC1_female","time_period1_female","APC2_female","time_period2_female","APC3_female","time_period3_female","APC1_male","time_period1_male","APC2_male","time_period2_male","APC3_male","time_period3_male"
"1","F[0-6]|G30","adolescents & emerging adults","9.91 (2.79,17.51)","1994 - 1997","2.02 (1.33,2.71)","1997 - 2015",NA,NA,"14.75 (7.63,22.35)","1994 - 1998","0.31 (-0.7,1.32)","1998 - 2015",NA,NA
"2","F1[1-9]","adolescents & emerging adults","70.21 (43.65,101.68)","1994 - 1997","1.56 (-0.15,3.3)","1997 - 2015",NA,NA,"46.02 (30.58,63.29)","1994 - 1997","0.12 (-1,1.25)","1997 - 2015",NA,NA
"3","F10","adolescents & emerging adults","10.15 (6.67,13.75)","1994 - 2003","2.29 (-0.14,4.77)","2003 - 2015",NA,NA,NA,NA,NA,"NA",NA,NA
"4","F20","adolescents & emerging adults",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NA",NA,NA
"5","F3[2-3]","adolescents & emerging adults",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NA",NA,NA
"6","F4","adolescents & emerging adults",NA,NA,NA,"NA",NA,NA,"16.62 (13,20.36)","1994 - 1999","-6.47 (-8.76,-4.12)","1999 - 2006","4.21 (2.45,6.01)","2006 - 2015"
"7","F50","adolescents & emerging adults",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NA",NA,NA
"8","F60","adolescents & emerging adults",NA,NA,NA,"NA",NA,NA,"2.67 (-0.02,5.43)","1994 - 2002","-14.21 (-19.78,-8.24)","2002 - 2007","3.33 (-0.13,6.92)","2007 - 2015"
"9","F[0-6]|G30","adults",NA,NA,NA,"NA",NA,NA,"3.59 (2.04,5.16)","1994 - 2001","-0.35 (-0.99,0.3)","2001 - 2015",NA,NA
"10","F00|G30","adults",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NA",NA,NA
"11","F1[1-9]","adults",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NA",NA,NA
"12","F10","adults","6.51 (3.1,10.03)","1994 - 2002","-0.69 (-2.52,1.18)","2002 - 2015",NA,NA,"5.17 (2.5,7.92)","1994 - 2001","-1.84 (-2.92,-0.75)","2001 - 2015",NA,NA
"13","F20","adults",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NA",NA,NA
"14","F3[2-3]","adults",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NA",NA,NA
"15","F4","adults",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NA",NA,NA
"16","F50","adults",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NA",NA,NA
"17","F60","adults",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NA",NA,NA
"18","F[0-6]|G30","seniors",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NA",NA,NA
"19","F00|G30","seniors",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NA",NA,NA
"20","F1[1-9]","seniors","3.3 (0.66,6.01)","1994 - 2005","25.44 (16.44,35.13)","2005 - 2010","1.59 (-4.18,7.71)","2010 - 2015",NA,NA,NA,"NA",NA,NA
"21","F10","seniors",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NA",NA,NA
"22","F20","seniors",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NA",NA,NA
"23","F3[2-3]","seniors",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NA",NA,NA
"24","F4","seniors",NA,NA,NA,"NA",NA,NA,"5.25 (2.36,8.22)","1994 - 2003","-0.3 (-2.25,1.69)","2003 - 2015",NA,NA
"25","F50","seniors","-2.22 (-9.12,5.21)","1994 - 2005","19.45 (9.44,30.38)","2005 - 2015",NA,NA,NA,NA,NA,"NA",NA,NA
"26","F60","seniors",NA,NA,NA,"NA",NA,NA,NA,NA,NA,"NA",NA,NA
